"";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC";"BC_2.5";"BC_97.5";"p_value"
"1";"AGRAULIS";15;105;0,952;0,954;0,906;0,985;0,376
"2";"DRYAS";18;153;0,937;0,954;0,915;0,983;0,154
"3";"EUEIDES";10;45;0,967;0,955;0,893;0,993;0,641
"4";"DENNIS.RAY";95;4465;0,917;0,955;0,941;0,966;0,001
"5";"HERMIAS";32;496;0,954;0,955;0,927;0,975;0,411
"6";"MANTINEUS";9;36;0,899;0,954;0,887;0,994;0,047
"7";"ORESTES";10;45;0,801;0,954;0,885;0,992;0,003
"8";"BENGAL";22;231;0,923;0,955;0,921;0,98;0,035
"9";"MAMERCUS";10;45;0,961;0,953;0,886;0,992;0,563
"10";"ACTINOTE";4;6;0,978;0,959;0,838;1;0,527
"11";"BLOODY";10;45;0,9;0,956;0,902;0,992;0,024
"12";"POSTMAN.REVERSE";11;55;0,932;0,954;0,888;0,99;0,176
"13";"HALF.DENNIS";16;120;0,779;0,955;0,909;0,986;0,001
"14";"BLUE.MASK";31;465;0,915;0,954;0,927;0,975;0,009
"15";"GREEK";9;36;0,91;0,953;0,884;0,995;0,088
"16";"ZEBRA";13;78;0,982;0,955;0,906;0,987;0,937
"17";"POSTMAN";15;105;0,955;0,955;0,911;0,985;0,449
"18";"HOLZMINDEN";12;66;0,92;0,956;0,902;0,989;0,07
"19";"ST.ANDREW";5;10;0,702;0,955;0,84;1;0,003
"20";"ELZUNIA";6;15;0,735;0,955;0,859;1;0,001
"21";"RED.BAND";12;66;0,91;0,955;0,901;0,988;0,049
"22";"CHESTERTONII";1;0;NA;NA;NA;NA;NA
"23";"CYRBIA";2;1;0,172;0,956;0,558;1;0,001
"24";"CLEA";2;1;0,395;0,947;0,517;1;0,011
"25";"EYES";2;1;0,182;0,956;0,607;1;0,001
"26";"VENUS";3;3;0,496;0,952;0,735;1;0,002
"27";"IDAE";16;120;0,973;0,954;0,91;0,983;0,858
"28";"HECALESIA";2;1;0,579;0,946;0,543;1;0,033
"29";"POMELO";3;3;0,992;0,955;0,751;1;0,471
"30";"HERMATHENA";6;15;0,999;0,955;0,857;1;0,942
"31";"HEURIPPA";1;0;NA;NA;NA;NA;NA
"32";"PACHINUS";2;1;0,277;0,958;0,567;1;0,001
"33";"MOTHONE";3;3;0,816;0,95;0,763;1;0,071
"34";"MAELUS";5;10;0,894;0,957;0,853;1;0,082
"35";"AILURUS";2;1;1;0,952;0,561;1;1
"36";"CRETACEA";1;0;NA;NA;NA;NA;NA
"37";"TELESIPHE";4;6;0,634;0,955;0,807;1;0,002
"38";"PHILAETHRIA";10;45;0,953;0,955;0,893;0,992;0,408
"39";"JUDITH";4;6;0,899;0,95;0,798;1;0,168
